Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,13
id_1,01/06/2025 00:00:00,14
id_2,01/06/2025 00:00:00,15
id_0,01/07/2025 00:00:00,12.73
id_1,01/07/2025 00:00:00,14.12
id_2,01/07/2025 00:00:00,14.77
id_0,01/08/2025 00:00:00,13.01
id_1,01/08/2025 00:00:00,14.23
id_2,01/08/2025 00:00:00,14.84
id_0,01/09/2025 00:00:00,13.02
id_1,01/09/2025 00:00:00,14.13
id_2,01/09/2025 00:00:00,14.59
id_0,01/10/2025 00:00:00,13.14
id_1,01/10/2025 00:00:00,14.14
id_2,01/10/2025 00:00:00,14.77
id_0,01/13/2025 00:00:00,13.18
id_1,01/13/2025 00:00:00,14.42
id_2,01/13/2025 00:00:00,14.95
id_0,01/14/2025 00:00:00,13
id_1,01/14/2025 00:00:00,14.55
id_2,01/14/2025 00:00:00,14.86
id_0,01/15/2025 00:00:00,12.9
id_1,01/15/2025 00:00:00,14.62
id_2,01/15/2025 00:00:00,15.05
id_0,01/16/2025 00:00:00,12.59
id_1,01/16/2025 00:00:00,14.74
id_2,01/16/2025 00:00:00,15.22
id_0,01/17/2025 00:00:00,12.44
id_1,01/17/2025 00:00:00,14.76
id_2,01/17/2025 00:00:00,15.08
id_0,01/20/2025 00:00:00,12.84
id_1,01/20/2025 00:00:00,14.66
id_2,01/20/2025 00:00:00,15.04
id_0,01/21/2025 00:00:00,12.8
id_1,01/21/2025 00:00:00,14.63
id_2,01/21/2025 00:00:00,14.95
id_0,01/22/2025 00:00:00,13.06
id_1,01/22/2025 00:00:00,14.75
id_2,01/22/2025 00:00:00,14.94
id_0,01/23/2025 00:00:00,12.85
id_1,01/23/2025 00:00:00,14.91
id_2,01/23/2025 00:00:00,15.12
id_0,01/24/2025 00:00:00,12.93
id_1,01/24/2025 00:00:00,14.91
id_2,01/24/2025 00:00:00,15.01
id_0,01/27/2025 00:00:00,12.83
id_1,01/27/2025 00:00:00,15.1
id_2,01/27/2025 00:00:00,14.99
id_0,01/28/2025 00:00:00,12.15
id_1,01/28/2025 00:00:00,15.46
id_2,01/28/2025 00:00:00,15.59
id_0,01/29/2025 00:00:00,11.92
id_1,01/29/2025 00:00:00,15.36
id_2,01/29/2025 00:00:00,15.92
id_0,01/30/2025 00:00:00,12.15
id_1,01/30/2025 00:00:00,15.18
id_2,01/30/2025 00:00:00,15.89
id_0,01/31/2025 00:00:00,11.76
id_1,01/31/2025 00:00:00,15.29
id_2,01/31/2025 00:00:00,16.06
id_0,02/03/2025 00:00:00,12.15
id_1,02/03/2025 00:00:00,15.21
id_2,02/03/2025 00:00:00,15.82
id_0,02/04/2025 00:00:00,12.14
id_1,02/04/2025 00:00:00,15.18
id_2,02/04/2025 00:00:00,15.54
id_0,02/05/2025 00:00:00,12.24
id_1,02/05/2025 00:00:00,15.2
id_2,02/05/2025 00:00:00,15.25
id_0,02/06/2025 00:00:00,12.06
id_1,02/06/2025 00:00:00,15.3
id_2,02/06/2025 00:00:00,15.23
id_0,02/07/2025 00:00:00,12.07
id_1,02/07/2025 00:00:00,15.43
id_2,02/07/2025 00:00:00,15.22
id_0,02/10/2025 00:00:00,11.24
id_1,02/10/2025 00:00:00,15.55
id_2,02/10/2025 00:00:00,15.25
id_0,02/11/2025 00:00:00,11.48
id_1,02/11/2025 00:00:00,15.74
id_2,02/11/2025 00:00:00,15.12
id_0,02/12/2025 00:00:00,11.35
id_1,02/12/2025 00:00:00,15.87
id_2,02/12/2025 00:00:00,15.27
id_0,02/13/2025 00:00:00,11.47
id_1,02/13/2025 00:00:00,15.95
id_2,02/13/2025 00:00:00,15.27
id_0,02/14/2025 00:00:00,11.41
id_1,02/14/2025 00:00:00,15.7
id_2,02/14/2025 00:00:00,15.07
id_0,02/17/2025 00:00:00,11.51
id_1,02/17/2025 00:00:00,15.58
id_2,02/17/2025 00:00:00,15.41
id_0,02/18/2025 00:00:00,11.4
id_1,02/18/2025 00:00:00,15.73
id_2,02/18/2025 00:00:00,15.27
id_0,02/19/2025 00:00:00,11.76
id_1,02/19/2025 00:00:00,15.61
id_2,02/19/2025 00:00:00,15.48
id_0,02/20/2025 00:00:00,11.96
id_1,02/20/2025 00:00:00,15.58
id_2,02/20/2025 00:00:00,15.95
id_0,02/21/2025 00:00:00,11.74
id_1,02/21/2025 00:00:00,15.76
id_2,02/21/2025 00:00:00,16.38
id_0,02/24/2025 00:00:00,11.9
id_1,02/24/2025 00:00:00,15.63
id_2,02/24/2025 00:00:00,16.08
id_0,02/25/2025 00:00:00,11.91
id_1,02/25/2025 00:00:00,15.54
id_2,02/25/2025 00:00:00,16.23
id_0,02/26/2025 00:00:00,12.15
id_1,02/26/2025 00:00:00,15.52
id_2,02/26/2025 00:00:00,16.1
id_0,02/27/2025 00:00:00,11.82
id_1,02/27/2025 00:00:00,15.45
id_2,02/27/2025 00:00:00,15.98
id_0,02/28/2025 00:00:00,11.53
id_1,02/28/2025 00:00:00,15.5
id_2,02/28/2025 00:00:00,15.84
id_0,03/03/2025 00:00:00,11.46
id_1,03/03/2025 00:00:00,15.38
id_2,03/03/2025 00:00:00,15.85
id_0,03/04/2025 00:00:00,11.29
id_1,03/04/2025 00:00:00,15.52
id_2,03/04/2025 00:00:00,15.68
id_0,03/05/2025 00:00:00,11.34
id_1,03/05/2025 00:00:00,15.53
id_2,03/05/2025 00:00:00,15.4
id_0,03/06/2025 00:00:00,11.19
id_1,03/06/2025 00:00:00,15.51
id_2,03/06/2025 00:00:00,15.15
id_0,03/07/2025 00:00:00,11.04
id_1,03/07/2025 00:00:00,15.58
id_2,03/07/2025 00:00:00,15.65
id_0,03/10/2025 00:00:00,11.2
id_1,03/10/2025 00:00:00,15.73
id_2,03/10/2025 00:00:00,15.47
id_0,03/11/2025 00:00:00,11.35
id_1,03/11/2025 00:00:00,15.69
id_2,03/11/2025 00:00:00,15.75
id_0,03/12/2025 00:00:00,11.56
