Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,17
id_1,01/06/2025 00:00:00,20
id_2,01/06/2025 00:00:00,15
id_3,01/06/2025 00:00:00,14
id_4,01/06/2025 00:00:00,13
id_0,01/07/2025 00:00:00,16.69
id_1,01/07/2025 00:00:00,20.25
id_2,01/07/2025 00:00:00,15.42
id_3,01/07/2025 00:00:00,14.1
id_4,01/07/2025 00:00:00,13.4
id_0,01/08/2025 00:00:00,16.4
id_1,01/08/2025 00:00:00,20.51
id_2,01/08/2025 00:00:00,15.9
id_3,01/08/2025 00:00:00,13.82
id_4,01/08/2025 00:00:00,13.99
id_0,01/09/2025 00:00:00,16.51
id_1,01/09/2025 00:00:00,20.85
id_2,01/09/2025 00:00:00,15.84
id_3,01/09/2025 00:00:00,14.28
id_4,01/09/2025 00:00:00,14.36
id_0,01/10/2025 00:00:00,16.55
id_1,01/10/2025 00:00:00,21.13
id_2,01/10/2025 00:00:00,15.55
id_3,01/10/2025 00:00:00,14.26
id_4,01/10/2025 00:00:00,14.06
id_0,01/13/2025 00:00:00,16.58
id_1,01/13/2025 00:00:00,21.11
id_2,01/13/2025 00:00:00,15.48
id_3,01/13/2025 00:00:00,14.49
id_4,01/13/2025 00:00:00,14.23
id_0,01/14/2025 00:00:00,16.81
id_1,01/14/2025 00:00:00,21.31
id_2,01/14/2025 00:00:00,15.58
id_3,01/14/2025 00:00:00,14.49
id_4,01/14/2025 00:00:00,13.98
id_0,01/15/2025 00:00:00,16.79
id_1,01/15/2025 00:00:00,21.14
id_2,01/15/2025 00:00:00,15.52
id_3,01/15/2025 00:00:00,14.74
id_4,01/15/2025 00:00:00,13.57
id_0,01/16/2025 00:00:00,16.83
id_1,01/16/2025 00:00:00,20.61
id_2,01/16/2025 00:00:00,15.31
id_3,01/16/2025 00:00:00,14.57
id_4,01/16/2025 00:00:00,13.6
id_0,01/17/2025 00:00:00,16.89
id_1,01/17/2025 00:00:00,20.96
id_2,01/17/2025 00:00:00,15.11
id_3,01/17/2025 00:00:00,14.69
id_4,01/17/2025 00:00:00,13.77
id_0,01/20/2025 00:00:00,17.02
id_1,01/20/2025 00:00:00,21.48
id_2,01/20/2025 00:00:00,15.23
id_3,01/20/2025 00:00:00,15.34
id_4,01/20/2025 00:00:00,13.66
id_0,01/21/2025 00:00:00,16.9
id_1,01/21/2025 00:00:00,20.89
id_2,01/21/2025 00:00:00,15.16
id_3,01/21/2025 00:00:00,15.69
id_4,01/21/2025 00:00:00,13.75
id_0,01/22/2025 00:00:00,16.58
id_1,01/22/2025 00:00:00,20.22
id_2,01/22/2025 00:00:00,15.37
id_3,01/22/2025 00:00:00,16.37
id_4,01/22/2025 00:00:00,13.36
id_0,01/23/2025 00:00:00,16.65
id_1,01/23/2025 00:00:00,20.23
id_2,01/23/2025 00:00:00,15.3
id_3,01/23/2025 00:00:00,16
id_4,01/23/2025 00:00:00,13.67
id_0,01/24/2025 00:00:00,16.41
id_1,01/24/2025 00:00:00,20.52
id_2,01/24/2025 00:00:00,15.43
id_3,01/24/2025 00:00:00,15.36
id_4,01/24/2025 00:00:00,14.31
id_0,01/27/2025 00:00:00,16.68
id_1,01/27/2025 00:00:00,19.67
id_2,01/27/2025 00:00:00,15.71
id_3,01/27/2025 00:00:00,15.78
